batchName,year,umId,majorTypeId,batchId,courseValue,univName,enrollId,courseGroup,lowScore,zbType,lowRank
本科普通批,2022,10386601,3,2,1,福州大学(01),36606840,物理,580,1,11702
本科普通批,2022,10359601,3,2,0,合肥工业大学(01),36606816,无限制,575,1,12490
本科普通批,2022,10359602,3,2,1,合肥工业大学(02),36606817,物理,575,1,12490
本科普通批,2022,10359603,3,2,2,合肥工业大学(03),36606818,"物理,化学",568,1,13571
本科普通批,2022,10359604,3,2,0,合肥工业大学(04),36606819,无限制,566,1,13923
本科普通批,2022,10357601,3,2,0,安徽大学(01),36606821,无限制,583,1,11244
本科普通批,2022,10357602,3,2,1,安徽大学(02),36606822,物理,592,1,9842
本科普通批,2022,10319601,3,2,0,南京师范大学(01),36606734,无限制,603,1,8264
本科普通批,2022,10319602,3,2,1,南京师范大学(02),36606735,物理,599,1,8799
本科普通批,2022,10319603,3,2,1,南京师范大学(03),36606736,"物理,化学,生物",588,1,10455
本科普通批,2022,10316601,3,2,1,中国药科大学(01),36606713,"物理,化学",597,1,9101
本科普通批,2022,10316602,3,2,1,中国药科大学(02),36606714,"物理,化学,生物",594,1,9542
本科普通批,2022,10316603,3,2,1,中国药科大学(03),36606715,"物理,化学",572,1,12957
本科普通批,2022,10307601,3,2,0,南京农业大学(01),36606710,无限制,571,1,13109
本科普通批,2022,10307602,3,2,1,南京农业大学(02),36606711,物理,566,1,13923
本科普通批,2022,10307603,3,2,1,南京农业大学(03),36606712,"物理,化学,生物",566,1,13923
本科普通批,2022,10295601,3,2,0,江南大学(01),36606706,无限制,574,1,12633
本科普通批,2022,10295602,3,2,1,江南大学(02),36606707,物理,593,1,9695
本科普通批,2022,10295603,3,2,2,江南大学(03),36606708,"物理,化学",573,1,12798
本科普通批,2022,10295604,3,2,2,江南大学(04),36606709,"物理,化学",565,1,14087
本科普通批,2022,10294601,3,2,0,河海大学(01),36606701,无限制,576,1,12334
本科普通批,2022,10294602,3,2,1,河海大学(02),36606702,物理,578,1,12007
本科普通批,2022,10294603,3,2,1,河海大学(03),36606703,"物理,化学",577,1,12183
本科普通批,2022,10294604,3,2,1,河海大学(04),36606704,物理,564,1,14274
本科普通批,2022,10294605,3,2,1,河海大学(05),36606705,"物理,化学",569,1,13401
本科普通批,2022,10290601,3,2,0,中国矿业大学(01),36606698,无限制,564,1,14274
本科普通批,2022,10290602,3,2,1,中国矿业大学(02),36606699,物理,572,1,12957
本科普通批,2022,10290603,3,2,1,中国矿业大学(03),36606700,物理,559,1,15106
本科普通批,2022,10288601,3,2,0,南京理工大学(01),36606719,无限制,596,1,9260
本科普通批,2022,10288602,3,2,1,南京理工大学(02),36606720,物理,612,1,7030
本科普通批,2022,10288603,3,2,1,南京理工大学(03),36606721,化学,598,1,8957
本科提前批A段,2022,10287604,3,1,1,南京航空航天大学(04),36607484,"物理,化学",470,1,31001
本科普通批,2022,10287601,3,2,0,南京航空航天大学(01),36606716,无限制,603,1,8264
本科普通批,2022,10287602,3,2,1,南京航空航天大学(02),36606717,物理,616,1,6509
本科普通批,2022,10287603,3,2,1,南京航空航天大学(03),36606718,物理,591,1,9990
本科普通批,2022,10285601,3,2,0,苏州大学(01),36606722,无限制,609,1,7421
本科普通批,2022,10285602,3,2,1,苏州大学(02),36606723,物理,612,1,7030
本科普通批,2022,10285603,3,2,1,苏州大学(03),36606724,化学,618,1,6248
本科普通批,2022,10285604,3,2,2,苏州大学(04),36606725,"化学,生物",618,1,6248
本科普通批,2022,10280601,3,2,0,上海大学(01),36606667,无限制,625,1,5408
本科普通批,2022,10280602,3,2,1,上海大学(02),36606668,物理,621,1,5887
本科普通批,2022,10280603,3,2,0,上海大学(03),36606669,无限制,612,1,7030
本科普通批,2022,10280604,3,2,1,上海大学(04),36606670,物理,589,1,10295
本科普通批,2022,10272601,3,2,0,上海财经大学(01),36606662,无限制,639,1,3881
本科普通批,2022,10272602,3,2,1,上海财经大学(02),36606663,物理,645,1,3241
本科普通批,2022,10271601,3,2,0,上海外国语大学(01),36606660,无限制,625,1,5408
本科普通批,2022,10271602,3,2,1,上海外国语大学(02),36606661,物理,625,1,5408
本科普通批,2022,10255601,3,2,0,东华大学(01),36606655,无限制,599,1,8799
本科普通批,2022,10255602,3,2,1,东华大学(02),36606656,物理,595,1,9405
本科普通批,2022,10251601,3,2,0,华东理工大学(01),36606652,无限制,614,1,6780
本科普通批,2022,10251602,3,2,1,华东理工大学(02),36606653,物理,615,1,6652
本科普通批,2022,10251603,3,2,1,华东理工大学(03),36606654,"物理,化学",608,1,7567
本科普通批,2022,10225601,3,2,1,东北林业大学(01),36606603,物理,555,1,15752
本科普通批,2022,10225602,3,2,1,东北林业大学(02),36606604,"物理,化学,生物",550,1,16590
本科普通批,2022,10224601,3,2,0,东北农业大学(01),36606613,无限制,547,1,17152
本科普通批,2022,10224602,3,2,1,东北农业大学(02),36606614,"物理,化学,生物",549,1,16780
